,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
745,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1795.730757,1738.304855,1186.907990,1122.299972,230.077590,296.134031,41.062266
746,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1620.242627,1588.986297,1030.989178,993.044830,221.690616,285.673933,39.835033
747,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1694.123422,1664.903162,1082.726604,1046.289521,228.020205,296.261812,41.333494
748,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1760.971589,1700.595507,1202.358386,1155.218760,268.779981,220.471571,36.928382
749,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1732.331859,1699.712202,1131.944166,1091.409745,221.783132,293.050018,40.553043
750,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1842.951933,1770.530261,1240.430038,1182.181929,290.350479,241.078540,39.779625
751,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1661.344558,1610.789826,1015.339187,979.764514,297.715132,245.082688,42.922441
752,1,1,1,1,25,24,1800000,2300000,0 10234101760,1816.386476,1745.549653,1273.127379,1195.585692,210.994934,272.805494,36.516749
753,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1809.519272,1745.342300,1195.053131,1145.348679,286.012318,234.646228,40.695366
754,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1791.226670,1730.206009,1212.817886,1166.079027,278.270290,226.727216,38.162439
755,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1789.072969,1707.897798,1193.198625,1126.150212,276.857625,230.088379,39.442156
756,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1721.747269,1669.349164,1115.394303,1056.492065,227.647993,290.691227,40.901942
757,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1632.344439,1609.572209,1006.587848,977.099075,235.571808,302.742155,42.267261
758,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1809.641706,1740.855877,1241.499527,1165.584165,217.535171,280.059051,38.302639
759,1,1,1,1,25,24,1800000,2300000,0 10234101760,1790.075532,1723.193250,1239.679687,1186.160931,262.857923,214.031954,36.365012
760,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1742.379151,1681.475785,1160.630208,1113.545229,282.593181,228.597624,38.430408
761,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1678.158022,1624.777819,1056.888515,1017.630782,292.375275,236.588223,41.203155
762,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1744.969988,1680.630418,1147.692261,1096.591243,285.827625,235.719130,39.567258
763,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1744.415314,1681.586883,1145.253739,1096.281141,280.740296,226.765151,39.713664
764,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1621.824367,1597.366150,1039.082593,1007.147246,223.631242,288.445297,39.335313
765,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1679.072112,1638.954410,1101.292650,1052.962255,221.794555,289.128066,38.976472
766,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1770.883863,1711.892395,1140.024690,1094.942625,288.819355,234.256242,41.964107
767,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1756.078628,1704.149017,1121.373978,1083.651201,297.405031,245.102935,42.100735
768,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1961.525745,1916.646314,1288.601274,1258.614315,291.769528,235.348787,44.919157
769,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1855.782048,1781.750063,1244.197097,1184.096269,294.790359,241.068921,40.439679
770,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1922.499160,1833.274779,1300.822801,1204.103666,240.387102,305.885940,41.845604
771,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1691.764475,1640.783016,1115.150849,1077.083621,270.884779,220.980851,38.189533
772,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1795.106277,1725.263396,1162.234681,1107.878248,303.151309,243.045396,41.845524
773,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1813.089783,1747.379641,1226.292757,1175.009887,277.172104,220.372363,38.800191
774,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1831.109997,1755.484179,1257.752091,1175.136808,217.141416,281.371259,38.607855
775,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1701.726530,1665.289732,1120.961473,1077.681514,221.598904,285.128159,39.123617
776,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1689.673489,1660.828292,1078.056058,1041.765461,226.865052,293.427567,41.330837
777,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1692.514634,1631.075576,1133.922181,1065.620922,210.139585,272.322374,37.689969
778,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1768.027179,1713.959047,1132.643862,1092.823809,298.857041,241.953748,42.151764
779,1,1,1,1,25,24,1800000,2300000,0 10234101760,1858.811992,1778.569211,1299.910981,1234.155493,276.254625,219.945207,36.787593
780,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1606.308197,1562.685318,985.764417,955.389405,285.186993,238.534030,41.224564
781,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1756.556199,1688.538756,1166.393879,1110.993528,275.057072,226.958037,39.166691
782,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1776.842850,1717.624248,1155.623276,1110.306917,288.356914,236.493182,41.218524
783,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1645.688992,1620.670745,1042.135265,1009.706067,227.401302,289.915834,40.778590
784,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1575.984768,1534.896299,1002.103667,973.410278,271.381953,220.789413,38.119577
785,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1763.224245,1694.772600,1170.641004,1115.705854,286.874677,231.678894,39.203377
786,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1757.522817,1730.372070,1124.066819,1088.432326,224.838209,292.001571,42.997221
787,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1732.444136,1678.370407,1084.805864,1044.662582,301.148846,242.044632,43.048625
788,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1667.069365,1608.202528,1087.027539,1041.757950,277.434890,222.952839,38.421623
789,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1595.197864,1544.667711,977.461565,941.079102,282.514558,229.809831,41.117996
790,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1611.519897,1565.007044,1014.766860,981.368408,270.617655,218.866658,39.768941
791,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1771.821840,1716.447982,1205.982084,1163.274197,269.017259,220.206939,37.470142
792,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,2068.567264,2023.754443,1369.242220,1318.254853,246.445112,310.085660,47.381036
793,1,1,1,1,25,24,1800000,2300000,0 10234101760,1894.366318,1816.651732,1314.916458,1251.243054,278.626831,228.152684,38.242934
794,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1737.456481,1688.696763,1140.691041,1106.585100,282.764969,227.451933,39.433252
795,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1789.117420,1726.083756,1160.646147,1111.722504,289.764999,237.308790,41.687599
796,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1898.407917,1829.472045,1268.851701,1191.273327,233.354540,304.825543,42.517059
797,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1794.129368,1743.656420,1204.520978,1147.470004,226.449418,286.256621,39.711377
798,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1621.893112,1594.382962,1038.063431,1002.976976,222.296309,284.649764,39.401100
799,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1734.140928,1672.716581,1174.446030,1125.720229,263.990113,213.646133,37.073107
800,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1698.028657,1643.254687,1090.242171,1048.514100,279.763565,228.144699,40.376783
