,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
600,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1635.935757,1577.187177,1071.501540,1025.671628,264.879973,217.202299,37.449208
601,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1830.370602,1746.119842,1245.838226,1175.516114,272.056885,222.933705,38.761343
602,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1779.642293,1738.075681,1152.342182,1125.619706,287.425643,232.774384,41.626012
603,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1713.660754,1679.101045,1091.199995,1050.380361,240.518935,305.450318,41.974737
604,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1660.807069,1637.568679,1046.266707,1017.562560,233.029404,294.696109,41.495634
605,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1743.183443,1688.176271,1106.875594,1066.578173,295.785810,246.442505,42.283297
606,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1697.972013,1640.496553,1140.128051,1075.450972,213.327621,279.287261,37.620578
607,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1846.170318,1792.798583,1225.591021,1165.221161,233.323000,298.943587,41.914291
608,1,1,1,1,25,24,1800000,2300000,0 10234101760,1880.551561,1806.310635,1309.361708,1250.469382,280.241240,226.354336,37.584845
609,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1719.208496,1688.107788,1123.931508,1086.230836,228.058367,296.975479,40.078841
610,1,1,1,1,25,24,1800000,2300000,0 10234101760,1825.014648,1755.988816,1279.816544,1204.400084,211.604950,274.928743,36.605816
611,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1820.741728,1748.055347,1213.616976,1156.640076,286.717025,232.681641,40.169203
612,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1931.146312,1881.616759,1279.666839,1245.895890,315.005121,256.581192,42.996768
613,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1758.607208,1707.418684,1172.046177,1114.609819,227.392549,290.728943,39.452826
614,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1730.535662,1670.135251,1176.981389,1130.201874,267.207168,219.139432,36.525723
615,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1608.963527,1592.446882,984.996610,961.564011,226.676358,295.363815,42.268664
616,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1699.326309,1637.429792,1124.047103,1075.564635,270.634796,222.807845,38.135286
617,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1830.344772,1766.785720,1256.103041,1185.992829,224.509612,285.381467,38.666751
618,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1639.302264,1632.163298,1040.681886,1026.571332,228.950716,293.618332,40.380439
619,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1798.315845,1719.702024,1174.834422,1110.266280,291.233549,240.888017,41.392838
620,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1689.597932,1666.218778,1075.986618,1045.203723,229.739108,294.237915,41.531641
621,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1817.688952,1740.996978,1222.928542,1159.687482,278.986283,226.338227,39.450604
622,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1685.859342,1642.227374,1079.992309,1050.547758,284.195236,231.763637,40.197771
623,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1640.468215,1588.951747,1039.185911,1001.300373,283.104050,233.134766,39.931933
624,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1740.463102,1676.471392,1144.537462,1094.579893,287.058972,234.505951,39.429212
625,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1777.784406,1710.177358,1154.083210,1101.074810,292.980159,241.854995,41.341970
626,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1705.281739,1648.726834,1120.855239,1077.707782,278.799928,232.145690,38.686583
627,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1892.724521,1820.164152,1273.875079,1217.244747,290.840437,235.157350,40.925761
628,1,1,1,1,25,24,1800000,2300000,0 10234101760,1917.456571,1848.695879,1340.419296,1264.954606,223.834806,290.202565,38.736200
629,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1733.306046,1673.547028,1097.723834,1053.418735,302.321347,248.871615,42.048274
630,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1728.251572,1668.659853,1175.417401,1130.095642,268.443556,216.802015,36.473829
631,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1679.841920,1659.916550,1069.853577,1043.636049,228.140319,293.706053,41.175018
