,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,76.812714,74.852707,42.745178,41.86174,13.785263,8.310486,2.315199
2,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,85.547623,80.05217,60.031693,55.057068,10.406784,8.274475,1.728419
3,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,83.884659,83.143829,59.087753,58.809464,10.165176,8.365967,1.678687
4,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,86.921692,80.848068,61.487534,55.718674,9.876953,8.91481,1.728295
5,-1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,127 0,71.872162,69.997559,39.968079,39.055954,12.931778,8.008728,2.166926
6,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,73.458664,72.811554,41.212875,41.350601,12.777985,8.805328,2.196575
7,-1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,6 16,85.204285,80.932449,60.151337,56.319778,10.141052,8.34584,1.69706
8,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,74.973312,72.694458,42.216766,40.862,13.237442,8.397064,2.227313
9,-1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,6 16,85.761581,82.524048,60.524506,57.469193,9.578323,9.275848,1.719064
10,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,73.05098,71.22226,41.33696,39.858704,11.360809,10.232468,2.1741
11,-1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,127 0,72.245407,72.1595,39.981232,40.705429,12.618988,8.966324,2.196273
12,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,85.352798,82.262344,60.313614,57.596558,9.936523,8.694687,1.698246
13,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,71.86113,71.842163,40.304459,41.130463,12.722382,8.511993,2.145145
14,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,86.005707,81.407791,60.268127,56.047302,9.975754,8.62381,1.748253
15,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,85.045578,82.296448,59.850555,57.193954,9.140594,9.570953,1.71848
16,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,75.593506,73.182587,42.051346,40.663452,13.466537,8.326248,2.277827
17,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,88.878662,81.963074,62.885635,56.229263,9.812057,9.253235,1.769472
18,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,74.793121,72.966278,42.172119,40.74263,11.679001,10.27211,2.234857
19,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,74.917847,72.564514,42.28241,40.374191,11.783691,10.004623,2.235013
20,-1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,6 16,82.553391,77.416077,58.115158,53.309174,9.570877,8.319733,1.659255
21,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,83.387955,81.688904,58.705948,57.342102,9.907867,8.714218,1.673829
22,-1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,127 0,71.855835,72.004791,39.959076,40.162079,10.451645,11.150375,2.196591
23,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,72.937225,70.83577,40.721893,39.155579,11.829163,9.413528,2.204695
24,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,83.74408,81.522095,59.235428,57.22377,9.291107,9.023911,1.666813
25,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,73.702087,71.81279,41.038086,40.110931,13.131531,8.191391,2.219967
26,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,73.914337,73.860458,40.914963,41.730499,12.985046,8.732498,2.247004
27,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,84.373642,79.297913,59.53833,54.787415,9.642105,8.491516,1.688014
28,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,74.752579,72.577713,42.018295,40.79747,13.129089,8.258316,2.225917
29,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,88.033005,82.430573,62.111252,56.921997,10.257538,8.678528,1.7595
30,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,82.822662,81.622635,58.290833,57.885361,10.836304,7.21582,1.648501
31,-1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,127 0,74.184647,72.458664,41.30452,40.553528,13.222916,8.28746,2.235574
32,-1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,6 16,84.148331,82.493286,59.284271,57.98497,9.806213,8.666595,1.686548
33,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,76.223724,74.096329,42.44873,41.365189,13.539963,8.34848,2.295796
34,-1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,127 0,73.40773,71.297409,40.928787,39.779358,13.076187,8.251129,2.207117
35,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,86.657608,81.766953,61.143784,56.729843,10.383469,8.497925,1.727799
36,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,87.723785,82.042816,62.265182,56.943283,9.912155,8.808762,1.729128
37,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,72.218536,72.245834,40.160156,40.958099,12.266571,8.949799,2.184184
38,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,73.024307,70.959274,41.087982,39.497818,11.451691,9.628113,2.187128
39,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,87.088943,81.336426,61.866165,56.542572,10.087891,8.507111,1.709036
40,-1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,6 16,85.367523,80.35376,60.050583,55.394226,9.951569,8.809021,1.71786
41,1,-1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,4 18,89.093079,86.003326,62.582443,59.898193,10.405258,9.169357,1.798535
42,1,-1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,20 2,73.171906,71.632385,40.994278,40.138596,12.467987,8.908737,2.19469
43,1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,0 127,83.009811,80.917145,58.663467,56.737534,9.102249,9.098358,1.656923
44,-1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,18 4,72.627274,72.840317,40.931808,41.381653,10.82225,10.527084,2.175588
45,1,1,-1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,16 6,74.781738,72.832031,41.732498,40.751617,13.249847,8.405457,2.24523
46,-1,1,1,2300000,bfs-rMatGraph_-j_-a_.5_-b_.1_-m_50000000_10000000,1500000,24,2 20,85.196182,82.615021,60.391785,58.050125,9.357117,9.065598,1.687342
