,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,18 4,54.933243,54.637695,32.774536,32.537125,6.415482,6.613327,1.544594
2,1,-1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,4 18,61.303284,60.055481,43.974533,42.729279,5.331009,5.899384,1.201565
3,1,1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,0 127,59.001831,58.505798,42.469696,42.122498,5.471634,5.077469,1.141095
4,-1,1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,2 20,57.956497,57.117432,41.770874,41.237152,5.81189,4.629654,1.111022
5,-1,-1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,127 0,49.537567,49.421738,28.312592,28.330292,6.32106,6.08931,1.475316
6,1,1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,16 6,56.667892,56.552887,33.656326,33.827728,7.214767,6.189819,1.594972
7,-1,-1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,6 16,61.516922,60.580505,44.047592,43.380081,6.09494,5.054291,1.201576
8,1,-1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,20 2,51.961655,52.033005,29.504837,29.877747,7.063583,6.200272,1.555251
9,-1,-1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,6 16,63.578812,62.698868,44.666656,44.187576,6.684052,4.636856,1.302062
10,1,1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,16 6,55.377014,54.843018,33.157639,33.062195,7.370483,5.495728,1.534404
11,-1,-1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,127 0,50.679916,50.868973,28.891296,29.17952,6.495758,6.536194,1.515796
12,1,1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,0 127,58.469513,57.052063,42.2789,41.089111,5.766525,4.742813,1.113251
13,-1,1,-1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,18 4,54.153168,54.213379,32.351105,32.629745,6.810028,6.001862,1.514047
14,-1,1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,2 20,58.879211,57.211365,42.659531,41.06485,5.344879,5.342621,1.120116
15,1,-1,1,2300000,bfs-gridGraph_-j_-d_3_10000000,1500000,24,4 18,59.634995,58.127396,42.87558,41.65506,6.092392,4.754318,1.151084
