,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
151,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,958.099930,932.652039,650.314926,630.618149,82.918655,65.244766,21.268393
152,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1102.995789,1055.626755,764.624878,723.976089,90.546906,66.486374,23.405930
153,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,982.252197,936.499481,694.562180,654.812317,81.196381,58.176025,19.830597
154,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1086.285080,1058.495178,729.220367,708.730499,95.881317,69.333450,24.703154
155,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1023.069122,983.121765,599.250076,565.837952,102.711243,86.757736,29.444948
156,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1035.119614,1009.794373,567.997238,549.743210,111.308075,90.088104,32.456665
157,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1047.798187,1029.009796,706.253311,694.369293,90.586456,67.686386,23.615778
158,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,951.901413,912.449371,555.318222,522.249893,95.773682,81.617310,27.520086
159,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,993.208450,975.495514,552.021378,541.018204,106.761337,84.528915,30.638884
160,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1103.726624,1053.739105,763.063522,718.631958,86.638229,71.212494,23.598455
161,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,991.379318,972.408798,551.200317,539.177490,106.599655,84.606506,30.566294
162,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1114.414459,1064.184097,771.848267,728.511627,91.746460,66.055038,23.689869
163,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,955.453186,932.347504,652.076553,634.156113,82.146439,64.932999,20.972160
164,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1049.179321,1007.182129,608.588669,574.453934,106.903610,83.654663,30.581476
165,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,907.400269,886.772888,508.094910,493.624451,98.713226,79.540558,27.721800
166,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,951.614700,908.608459,557.816940,520.334259,96.701218,79.664734,27.348261
167,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,970.626266,927.538651,685.645447,647.993668,78.972641,59.246460,19.672922
168,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1079.712265,1053.143127,725.148911,704.924820,93.732101,70.723953,24.560181
169,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1052.806854,1032.981735,711.162994,697.527649,91.696259,67.294739,23.637127
