,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
95,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1015.797668,961.176453,712.254990,663.524048,82.553207,61.923553,20.963219
96,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,992.111023,971.636368,552.095871,538.658157,105.882507,85.906921,30.554413
97,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1051.621445,1008.505707,611.688660,575.669449,106.973724,83.668762,30.547516
98,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1077.510864,1037.582397,753.160889,719.270630,86.234207,67.205170,22.432869
99,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1083.017456,1054.157654,726.257263,704.736862,95.637024,69.588257,24.678352
100,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,991.133133,970.071426,551.443253,537.146317,104.882492,87.368546,30.548065
101,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,959.729340,910.960983,564.023544,520.785614,95.906662,80.073395,27.484018
102,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,955.466934,932.275833,651.099274,632.474350,78.400528,67.013824,21.069801
103,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1006.513687,957.262634,705.998520,662.381042,81.638138,62.894592,20.766048
104,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,992.575790,971.428055,552.273315,538.412460,105.793274,87.136520,30.580540
105,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1119.441177,1069.550995,774.637024,732.203705,94.090393,65.387100,23.824078
106,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1014.636505,977.397583,592.035934,560.982391,100.424728,87.829544,29.364115
107,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,938.789764,913.916901,521.994141,503.433670,101.719574,82.364990,28.941593
108,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,962.164536,937.124039,653.924423,636.276184,87.165039,59.467743,21.242634
