,E,I,J,L,Q,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
83,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1741.039198,1710.205688,1139.221834,1127.639404,288.180402,206.123734,39.778007
84,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1814.028655,1776.138703,1251.540632,1233.340380,282.565904,197.050599,36.933658
85,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,1754.863371,1743.941287,1174.879244,1176.073153,267.923279,228.613097,38.393447
86,1,1,-1,1,1,2300000,25,1800000,24,1073741824 4407206871040,1759.485235,1705.831802,1174.605759,1141.745633,294.324811,204.307739,38.426634
87,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1690.055620,1662.852860,1075.114716,1067.594625,296.450501,207.992138,40.644204
88,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1700.029070,1718.792358,1098.084244,1128.855681,271.211779,230.123078,39.984788
89,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,1582.650190,1585.664459,983.219344,996.919906,267.686922,227.661880,39.928863
90,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1761.170408,1774.851121,1106.418123,1137.723023,303.959230,227.068558,43.469165
91,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1808.146376,1777.256484,1213.453053,1203.092260,297.472611,205.372834,39.123030
92,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1726.236042,1721.670349,1154.317683,1162.142087,261.537859,220.888856,37.882665
93,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1802.008819,1775.810453,1213.816816,1208.229814,290.679319,203.635222,38.683896
94,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1870.615124,1836.046206,1260.185228,1247.258210,306.168165,215.688523,40.104507
95,1,1,1,1,1,2300000,25,1800000,24,0 4408280612864,1757.532134,1749.133361,1212.552840,1215.292802,255.685070,218.792526,36.035258
96,1,1,-1,-1,-1,2300000,25,1800000,24,4407710187520 570425344,1731.848449,1692.809874,1111.758195,1093.350811,307.323562,214.021849,40.851809
97,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1823.347212,1824.288546,1195.786439,1209.259565,288.546064,248.815661,41.542915
98,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1667.178937,1629.664123,1047.868140,1028.888232,294.578309,211.242359,41.002121
99,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1900.103303,1865.599372,1272.818190,1259.960095,313.716078,215.602889,41.240778
100,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,1673.340655,1643.480411,1042.030155,1032.268111,304.133607,213.565768,41.729634
101,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1758.527867,1719.780364,1213.572812,1194.748045,275.024199,187.301299,35.795861
102,-1,-1,-1,-1,1,2300000,25,1800000,24,10234101760 4398046511104,1582.052402,1592.469600,958.079280,983.787064,283.002582,222.697265,41.487368
103,1,1,-1,-1,-1,2300000,25,1800000,24,4407710187520 570425344,1709.544523,1665.417009,1096.940218,1073.011110,299.773271,210.898684,40.408968
104,-1,1,-1,-1,1,2300000,25,1800000,24,9697230848 4398583382016,1649.572509,1611.956849,1040.650590,1023.418453,300.256503,211.035799,40.182239
105,-1,1,1,-1,1,2300000,25,1800000,24,8623489024 4399657123840,1689.805742,1681.856678,1116.971271,1120.242467,267.756343,229.490626,37.939465
106,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1813.652555,1780.148452,1222.132187,1208.683458,292.209930,206.903106,38.908630
107,-1,-1,1,1,1,2300000,25,1800000,24,570425344 4407710187520,1843.136873,1830.242127,1209.914352,1212.395600,289.121305,235.406863,41.961007
108,1,-1,-1,1,1,2300000,25,1800000,24,1610612736 4406670000128,1833.630082,1792.888706,1189.106536,1169.579421,317.208345,223.257079,42.461375
109,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1726.010571,1703.096176,1098.542860,1095.851228,306.939880,216.125338,41.422108
110,1,1,1,1,1,2300000,25,1800000,24,0 4408280612864,1841.806522,1816.433702,1269.500029,1265.043120,292.001450,198.671513,37.523132
111,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1740.100556,1715.179670,1170.730760,1165.487522,284.986114,202.059236,37.391817
112,1,1,-1,1,1,2300000,25,1800000,24,1073741824 4407206871040,1770.583878,1731.870893,1176.201187,1157.694137,296.805388,209.443177,39.080380
113,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,1697.658447,1666.688234,1141.731857,1130.122788,274.931156,190.509705,36.600140
114,-1,1,-1,1,-1,2300000,25,1800000,24,4399153807360 9126805504,1641.602509,1603.333648,1067.106294,1048.433211,281.101336,197.892755,37.844983
115,-1,-1,1,-1,-1,2300000,25,1800000,24,4407206871040 1073741824,2003.129624,1984.044755,1227.809681,1230.793851,329.962431,240.548200,51.760348
116,-1,-1,-1,1,1,2300000,25,1800000,24,1644167168 4406636445696,1715.441496,1681.165441,1076.863740,1063.553209,305.989945,214.818358,42.246474
117,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1871.414883,1864.043322,1255.575228,1264.473345,293.215023,231.507479,40.660994
118,-1,1,1,1,-1,2300000,25,1800000,24,4398080065536 10200547328,1816.088820,1772.473113,1226.340744,1203.525099,292.618747,207.291947,38.760636
119,1,-1,1,-1,-1,2300000,25,1800000,24,4407173316608 1107296256,1709.571304,1715.376739,1118.752732,1138.678615,272.254992,223.077546,39.122767
120,-1,1,1,-1,-1,2300000,25,1800000,24,4406670000128 1610612736,1759.961043,1735.051696,1155.798632,1151.548556,306.312576,214.612428,39.696665
121,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1785.881548,1757.222277,1155.305069,1146.952487,307.182435,215.792145,41.636294
