,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
241,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,70.577896,68.466492,36.962845,35.424408,10.949661,9.30748,2.317417
242,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,58.893204,57.152206,41.536835,39.910309,6.813187,6.742706,1.178846
243,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,50.816422,49.871719,28.438522,27.823471,8.715591,7.145706,1.528312
244,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.484192,50.455688,29.1241,28.375992,8.433731,7.281982,1.529381
245,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,53.739304,52.872147,30.347061,29.81163,9.001633,7.456818,1.598199
246,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.210678,55.060425,42.156174,38.021591,6.557465,6.902405,1.162412
247,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,57.292755,55.470169,40.487946,39.003296,7.4832,6.020035,1.13259
248,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,60.923187,57.798325,43.042755,40.381561,8.057907,5.828995,1.203613
249,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,51.311539,51.261795,28.961945,29.12352,8.366592,7.712051,1.529197
250,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,60.757202,56.930557,42.954834,39.489502,7.754059,6.053925,1.202411
251,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,53.231247,52.075577,29.431808,28.579437,8.844101,7.814774,1.628921
252,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,52.221542,50.922882,29.437576,28.40863,8.53804,7.450211,1.55951
253,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,62.170593,61.140015,43.993408,43.099045,7.362289,7.084976,1.234069
254,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,58.963608,55.560349,41.924698,38.72168,7.118652,6.408646,1.15332
