,B,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
114,-1,1,2300000,250 250 250,1500000,24,2 16,1318.848862,1302.881454,800.415558,797.660873,328.962540,282.129166,32.812790
115,1,1,2300000,250 250 250,1500000,24,0 159,1768.411102,1709.704468,1262.259903,1212.311508,312.956146,289.765533,32.050419
116,-1,-1,2300000,250 250 250,1500000,24,159 0,1232.898178,1225.392487,699.827026,705.542084,331.173111,285.374298,33.846806
117,1,1,2300000,250 250 250,1500000,24,0 159,1785.974564,1714.912231,1277.437958,1219.714828,327.118271,276.326355,32.031330
118,1,-1,2300000,250 250 250,1500000,24,16 2,1721.710953,1660.724960,1191.113495,1143.757263,329.491745,281.428986,33.548901
119,-1,-1,2300000,250 250 250,1500000,24,159 0,1243.115433,1229.216980,705.269485,704.919052,332.954071,283.556778,34.158714
120,-1,1,2300000,250 250 250,1500000,24,2 16,1265.753540,1263.383408,773.684250,779.359009,311.722488,286.027313,31.168037
121,-1,-1,2300000,250 250 250,1500000,24,159 0,1206.154617,1200.756332,686.358505,691.286133,322.570938,287.252014,33.084450
122,1,1,2300000,250 250 250,1500000,24,0 159,1755.588242,1708.840378,1256.414520,1220.370316,317.926758,280.549545,31.508741
123,1,-1,2300000,250 250 250,1500000,24,16 2,1646.798599,1615.536591,1149.680893,1128.102097,314.525360,285.575302,31.337767
124,-1,1,2300000,250 250 250,1500000,24,2 16,1340.754990,1327.855652,807.639877,807.854080,330.188614,284.305222,33.827515
125,1,-1,2300000,250 250 250,1500000,24,16 2,1691.253754,1625.712357,1179.177368,1127.434219,328.278366,276.364777,32.256474
126,-1,-1,2300000,250 250 250,1500000,24,159 0,1195.457809,1202.356476,682.911194,696.603363,311.005829,296.855499,32.620499
127,1,1,2300000,250 250 250,1500000,24,0 159,1814.046661,1742.475388,1292.370621,1233.307449,324.719727,281.377991,32.984497
128,-1,1,2300000,250 250 250,1500000,24,2 16,1270.487183,1270.967117,775.006912,783.308319,311.019577,288.531433,31.360403
129,-1,1,2300000,250 250 250,1500000,24,2 16,1324.604202,1315.988815,799.572830,801.085724,323.188156,289.318207,33.408562
130,1,-1,2300000,250 250 250,1500000,24,16 2,1717.952896,1660.801208,1190.029312,1145.719131,328.290237,283.151459,33.447105
131,1,1,2300000,250 250 250,1500000,24,0 159,1775.257141,1716.892670,1270.056992,1224.283707,322.159912,278.546173,31.787374
132,-1,-1,2300000,250 250 250,1500000,24,159 0,1213.868851,1216.583359,694.418228,703.338348,312.220230,297.898087,33.106453
133,1,1,2300000,250 250 250,1500000,24,0 159,1845.299011,1757.178482,1311.852005,1238.547409,331.986725,280.592407,33.708172
134,-1,-1,2300000,250 250 250,1500000,24,159 0,1204.516739,1205.867340,687.274612,702.032654,327.802536,282.164902,32.683884
135,1,-1,2300000,250 250 250,1500000,24,16 2,1741.393402,1662.144608,1204.890594,1140.048050,334.871338,281.901474,33.959862
