,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,127 0,108.967468,108.339325,61.787842,62.122589,24.531708,19.968719,3.140522
2,1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,64 16,116.510559,115.736038,69.928848,70.013306,23.984848,20.064331,3.099221
3,1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,0 127,134.579086,132.598343,92.601578,91.536057,22.971024,19.073898,2.767553
4,-1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,16 64,129.789368,127.943100,88.185516,87.106369,22.480072,19.477234,2.746536
5,1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,0 127,133.600983,131.885727,92.069107,91.307632,22.653519,19.048691,2.734431
6,-1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,127 0,115.018021,114.001038,64.693314,65.165726,26.262100,19.574982,3.334619
7,-1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,16 64,129.871353,127.922073,88.166382,87.199432,22.783035,18.927460,2.746884
8,1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,64 16,115.743759,115.031906,69.751297,69.784119,23.104172,20.690811,3.059446
9,1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,64 16,118.233658,117.394623,70.890793,70.824036,23.569733,20.926315,3.153391
10,1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,0 127,133.077576,131.105072,91.917160,90.527954,22.182861,19.665955,2.723121
11,-1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,16 64,130.048782,127.681198,88.642258,86.919006,22.207809,19.465561,2.737535
12,-1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,127 0,110.950439,110.250412,63.052338,63.219955,24.125168,20.561859,3.191044
13,-1,-1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,127 0,109.455811,108.671280,62.319550,62.513062,24.229889,20.155411,3.133149
14,1,1,2300000,delaunay-refine-plummer_-d_2_2000000,1500000,24,0 127,186.210037,172.180420,121.354630,108.303131,26.100449,23.835587,4.399512
