,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
177,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.971222,132.451904,93.004425,90.254944,22.924316,19.779724,2.835036
178,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.955078,121.862244,73.661041,73.427505,24.523575,20.999191,3.281997
179,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.460861,135.085342,96.091278,93.370087,22.458511,20.050354,2.794910
180,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.374252,114.659271,65.657623,65.802719,24.632278,21.020386,3.312165
181,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,121.655334,120.410614,73.099777,72.633118,23.889023,20.898788,3.232518
182,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.655533,131.924271,92.780472,89.923828,23.181580,19.509598,2.824972
183,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,187.252197,172.269882,122.835419,109.091980,26.852249,23.317444,4.341504
184,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.739975,115.213898,65.369446,65.752579,24.684052,21.154114,3.356196
185,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.385803,115.571365,65.815613,66.058014,25.072495,20.735611,3.366955
186,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.691254,133.039642,93.450211,90.733017,23.316360,19.506088,2.848345
187,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.042221,123.000183,74.209991,73.984558,24.289688,21.214417,3.321712
188,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,137.866592,134.382675,95.775162,92.946640,22.115570,19.979874,2.776845
189,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.362061,114.506332,65.558411,65.656250,24.507141,21.014999,3.315307
190,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.591888,133.166626,93.057571,90.568680,23.273636,19.665955,2.868846
191,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,156.899155,153.141190,87.041718,84.377090,27.686905,24.560730,4.738933
192,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.933472,135.275269,96.409882,93.507004,22.654984,19.881470,2.804016
193,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.707169,133.005508,93.307480,90.571518,23.333221,19.476166,2.857963
194,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.621933,122.580505,73.957703,73.847977,24.567505,20.860901,3.305250
195,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.593735,115.635849,66.070953,66.089478,24.940689,20.963089,3.365463
196,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.754501,136.916580,97.682587,94.802719,23.362350,19.425705,2.835191
197,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,133.867065,130.105392,92.007614,88.997055,22.467834,19.723297,2.757429
198,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.546021,115.148804,65.566788,65.935272,24.358444,21.444290,3.335730
199,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,161.863358,157.434601,89.769913,86.586639,29.115829,24.458237,4.887600
200,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.754730,135.685303,97.147049,93.953125,22.936829,19.638214,2.805473
