,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
44,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,117.147263,116.395111,66.162735,66.503586,25.343353,20.774460,3.393856
45,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,141.430130,138.074265,97.996521,95.675247,23.668747,19.251389,2.858660
46,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.154510,115.468796,65.991333,66.211807,24.579346,20.900986,3.342450
47,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,172.883667,162.704117,112.814697,103.562286,25.793701,22.897537,4.041416
48,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.854294,122.932724,74.224609,74.217285,24.428970,20.913757,3.304829
49,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.638504,131.650421,92.113525,89.785828,22.583740,19.941132,2.806952
50,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,141.234467,137.635483,97.853699,95.234055,23.372101,19.268585,2.856921
51,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.569519,114.896713,65.632751,65.861664,24.647430,21.035706,3.326105
52,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,125.274094,124.398026,74.707993,74.972778,25.209778,20.477280,3.362221
53,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.333786,115.609528,65.947495,66.174652,24.574631,21.045273,3.356441
54,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.755844,132.642792,92.796829,90.449722,22.470840,19.844574,2.834554
55,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,162.306396,152.781250,93.758499,85.508224,27.730698,24.480743,4.643381
56,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.309097,136.978394,97.329605,94.991913,23.160446,19.258377,2.827128
57,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.140488,136.640778,97.345490,94.772781,22.993027,19.333450,2.815159
58,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.966766,115.533356,65.901382,66.086227,23.712006,21.791260,3.346240
59,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.541580,133.224930,93.400604,90.824509,22.524963,19.970932,2.846933
60,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,125.100784,124.223953,74.656387,74.861252,24.926682,20.534805,3.355686
61,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.689987,135.453644,96.282532,93.817673,22.484451,19.640472,2.794760
62,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.616989,130.539886,92.450226,89.223495,22.699905,19.513855,2.774238
63,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,157.625275,153.805817,82.841034,79.642258,27.985825,26.398514,5.104480
64,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.737595,122.583450,74.164948,73.836990,24.495392,21.117584,3.302529
65,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.339661,113.800400,65.038681,65.298218,24.508270,21.067276,3.285328
66,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.647354,121.557281,73.730301,73.557526,24.490189,20.648544,3.253037
67,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.070282,132.412933,93.013565,90.193726,23.022568,19.509354,2.837486
68,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,142.371933,138.470718,98.507965,95.708984,23.695618,18.895508,2.886022
69,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.180450,135.914703,96.617264,94.048737,22.586197,19.706863,2.806624
70,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.756622,115.201904,65.745880,66.063370,24.483459,20.951233,3.332503
71,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,140.204834,136.021439,95.391251,92.428253,24.350311,18.982895,2.947917
72,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.847809,123.861771,74.759979,74.669647,24.831635,20.968887,3.335273
73,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.515930,114.392715,65.363876,65.801987,23.816010,21.777405,3.281983
74,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.016403,132.723236,92.805786,90.382019,22.957535,19.614883,2.848393
75,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.777939,136.510834,96.854004,94.463837,23.017288,19.361374,2.827615
76,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.772644,122.262817,73.286316,73.415039,23.758270,21.458069,3.302634
77,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.401291,132.542648,93.222519,90.230331,22.941315,19.508469,2.845590
78,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.402740,122.504807,73.908646,73.909348,24.600845,20.674515,3.294427
79,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,175.639175,164.636673,115.805252,106.177109,26.127625,22.124527,4.021310
80,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.169174,115.799393,65.905960,66.509491,25.029877,20.756882,3.345814
