,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
674,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1490.348831,1724.707733,841.795624,1086.568130,278.993088,242.499634,43.114243
675,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,2019.347183,1935.070480,1262.295883,1200.777740,324.828384,237.898773,50.312084
676,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1933.147446,1730.280548,1271.070892,1084.386124,293.474274,233.611221,43.854649
677,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1575.352280,1891.958588,816.319046,1149.973404,311.621338,251.354050,50.665836
678,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1953.226746,1708.069687,1302.716141,1075.324158,298.239944,227.447693,42.986084
679,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1892.952805,1702.421555,1257.826035,1082.108643,285.312729,231.931274,41.995300
680,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1681.339584,2101.336212,885.664459,1328.677704,331.760269,255.092285,52.985104
681,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1521.927383,1728.124405,875.734604,1093.866104,280.664108,243.613586,42.876854
682,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2027.520233,1877.320648,1276.849365,1147.418777,317.851669,240.811768,49.942287
683,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1933.115677,1664.202011,1291.735092,1037.036301,282.973679,233.444412,42.453827
684,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1591.928253,1986.470566,806.077530,1224.673355,331.767822,241.229568,52.273968
685,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2063.360565,1945.965134,1292.052521,1201.796295,335.888504,234.351257,51.166458
686,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,1952.150101,1822.745972,1218.849335,1104.155487,298.219910,249.817230,48.955441
687,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2051.713577,1949.644730,1279.474152,1203.980667,333.574295,231.320831,51.238338
688,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2123.962296,2072.958466,1323.850189,1308.290421,362.555115,219.148102,52.829155
689,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1518.850372,1740.151306,872.571625,1107.645950,287.602844,235.420639,42.822235
690,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1491.484695,1826.875137,760.147903,1104.259521,288.516693,263.228683,49.016129
691,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1863.821365,1690.281372,1221.753464,1059.638626,281.281860,238.774170,42.623661
692,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1922.728561,1705.806686,1270.979431,1067.062958,284.166336,237.544525,43.234009
693,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1668.597092,2033.524826,881.754272,1273.056747,338.031342,239.689606,52.238285
694,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1534.833359,1815.217255,850.609528,1148.795441,301.326752,235.520203,45.332329
695,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1481.876617,1757.839172,774.511368,1059.012955,285.482269,256.348236,47.370804
696,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1476.805054,1702.522308,823.258179,1061.904327,285.324509,239.358154,43.397091
697,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1970.240646,1717.252258,1302.227325,1066.440155,297.874863,227.660431,44.255455
698,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2133.158371,1980.180130,1347.461273,1224.370224,345.344482,234.324707,52.055084
699,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1502.981216,1738.509323,847.079681,1094.706085,283.409515,243.267731,43.579655
700,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2041.247650,1867.251740,1268.032150,1116.880371,327.329773,241.243027,51.488949
701,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1551.474823,1780.419357,875.856400,1121.142166,292.116745,239.046051,44.809566
702,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1917.729874,1709.368530,1273.294724,1081.517029,289.745178,228.511383,42.599266
