,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1892.249588,1720.709305,1247.040070,1089.442383,281.125031,237.891800,42.686279
2,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1587.326630,1783.198563,893.580170,1107.554199,301.915436,237.006622,46.001080
3,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2079.756180,1880.898727,1310.991791,1137.658661,330.996582,234.907944,51.083637
4,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1484.940948,1669.327393,841.463028,1037.184937,281.004562,237.027176,42.823311
5,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1626.192993,1939.807449,854.731934,1189.778091,328.492325,238.061111,51.483276
6,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1643.558609,2002.055618,845.034195,1230.539185,343.259521,234.295578,53.207001
7,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1545.348373,1822.666626,814.969040,1104.542618,295.680878,252.814209,48.929649
8,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2013.976074,1939.739334,1247.184601,1196.246979,327.451096,237.008194,51.035519
9,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1860.555267,1720.563324,1221.069443,1093.391846,279.938370,241.323349,42.416504
10,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,2006.717010,1756.658188,1324.819550,1095.271286,307.043030,231.616257,45.066326
11,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2033.549484,1898.838043,1277.211548,1164.393845,320.167053,241.841125,50.264240
12,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1572.081467,1788.726044,885.561066,1121.374908,306.658752,231.531845,45.475544
13,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1521.534027,1714.416061,873.430206,1079.103043,283.661636,238.139389,43.004124
14,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1519.344879,1717.047775,852.867523,1066.710281,293.813202,238.821228,44.165527
15,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1601.896240,1952.427322,828.916656,1203.133194,331.336853,241.149155,51.422859
16,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1901.264420,1700.675980,1253.544907,1066.213776,283.843353,235.852478,42.972958
17,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2032.411957,1863.034470,1271.653397,1124.466217,320.818329,239.436401,50.636986
18,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,1988.047668,1893.522522,1241.024246,1165.182831,311.392303,247.068527,49.759853
19,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2076.953506,1969.930878,1307.027649,1225.956192,332.781494,237.423050,51.060314
20,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1572.453278,1906.880264,819.347702,1169.980515,305.968994,253.133179,50.278706
21,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,1965.507187,1849.500931,1235.643738,1139.221634,310.307846,238.303558,48.529770
22,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1870.311066,1689.632202,1246.457199,1081.249832,285.081436,229.700256,41.163727
23,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1985.927750,1732.666489,1327.182220,1093.243820,296.417404,228.686752,43.480362
24,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1638.153381,1995.915283,835.579330,1220.846100,342.595566,238.646286,53.335079
25,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1551.380966,1845.679459,855.872375,1171.537384,312.069962,231.217667,45.987091
26,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1886.946716,1670.572464,1249.861206,1045.759384,277.853348,237.178955,42.231449
27,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1611.568817,1907.760635,832.850357,1152.308182,325.857819,242.919876,51.823631
28,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1475.652588,1731.293716,823.148483,1093.006042,286.204666,235.299606,43.261135
29,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1928.595306,1688.818802,1289.386642,1065.187119,285.812851,232.523041,42.265202
30,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1536.960907,1723.955627,882.076050,1082.126877,285.218094,239.328522,43.467178
31,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1560.512817,1917.769241,790.214355,1166.063858,314.737152,252.731155,51.420860
32,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,1949.477585,1928.008911,1204.413208,1200.952759,312.274521,246.445648,49.669735
33,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2025.921524,1915.047333,1257.520126,1170.738998,329.038879,237.284378,51.073257
34,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,2208.128510,2160.832596,1355.458878,1326.728973,331.229523,265.714752,57.224396
35,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1537.209091,1787.506348,848.841614,1115.821106,296.704605,235.867371,45.693935
36,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,1932.955170,1838.246933,1209.762283,1130.084045,297.844727,246.184113,48.246891
37,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1930.672714,1745.165298,1270.109222,1104.090179,301.157593,223.944305,43.638065
38,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1939.357300,1748.082367,1298.355087,1123.934799,290.062195,231.544464,42.299362
39,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1582.538651,1796.525055,832.903473,1061.907822,303.670807,252.756989,50.107780
40,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1579.074203,1879.326584,817.743286,1134.927780,311.346649,251.211578,50.850887
41,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1590.667068,1948.320602,823.378433,1202.681931,323.787247,239.649124,51.112740
42,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1552.604523,1822.800842,875.677902,1163.213348,302.463959,233.608292,44.875980
43,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2161.235672,2058.206543,1359.217041,1289.288666,359.291962,226.446289,53.098198
44,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1640.867142,1969.697174,850.164581,1204.804794,337.034897,242.432541,52.581680
45,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1544.594574,1733.080032,872.450500,1076.426025,293.139740,240.033981,44.592453
46,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1851.062546,1675.015884,1231.494263,1068.951538,280.947311,231.137924,40.947533
47,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1694.471390,2137.408676,858.455368,1337.246857,366.846008,230.212769,55.366943
48,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1578.992081,1854.994675,869.054184,1169.378403,319.862778,226.700867,46.940250
49,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1715.613983,2114.405350,897.433350,1330.067459,363.323013,227.901840,54.230572
50,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1561.178223,1813.483643,883.904938,1155.113953,304.679138,232.159012,44.830948
51,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1541.508499,1764.070999,883.554794,1119.138535,286.795456,242.241043,43.700661
52,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2056.733963,1935.325485,1296.210983,1198.123718,327.581863,241.413681,50.553795
53,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1917.038361,1727.232864,1267.490555,1093.729538,289.426392,235.474136,42.965469
54,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1884.037521,1684.606125,1250.936172,1065.078461,281.171280,234.968552,41.884426
55,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,1923.955475,1833.799133,1207.274414,1133.957001,301.523712,246.673523,47.663883
56,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1930.652542,1694.588959,1288.590668,1066.969772,284.821960,236.304916,42.485104
57,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1548.049438,1739.800568,872.778152,1080.899063,297.368042,239.194260,44.775417
58,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1528.247269,1823.169754,774.642227,1085.083633,304.607498,255.539795,50.355225
59,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,1979.944687,1901.451035,1228.181137,1168.540573,312.013977,247.011841,50.106331
60,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2016.142395,1863.470001,1260.977386,1128.944092,315.888092,242.776215,50.279644
61,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1940.801483,1755.313171,1273.553345,1105.749954,294.653275,235.190689,44.156013
62,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1497.699661,1662.318771,863.441055,1038.150803,273.563477,241.429138,42.125942
63,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1595.550705,1869.829803,827.396835,1120.891251,317.008301,247.362167,51.243168
64,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1928.756485,1710.176254,1272.880600,1069.671448,288.445297,235.352463,43.460793
65,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,2055.608871,1941.255539,1285.369583,1198.606308,336.724304,235.708313,51.036983
66,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1601.431244,1790.549591,899.122314,1108.276962,307.193024,236.002457,46.540409
67,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1547.329834,1730.545670,885.448868,1082.645096,285.177185,240.873947,43.922161
68,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,2156.069168,1979.877701,1417.224945,1264.585724,322.754990,239.161774,48.968296
69,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1853.798477,1727.066727,1224.087845,1111.404694,284.804688,232.524902,41.613400
70,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1907.747375,1690.146423,1257.967438,1055.632294,288.191803,236.246552,42.985130
71,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2015.690369,1917.889755,1266.432419,1191.896454,324.119675,238.908005,49.697880
72,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1631.827423,1921.522980,863.385452,1174.656418,325.560669,242.520035,51.176846
73,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1547.132767,1848.779816,816.000397,1130.323792,299.305862,257.189819,48.871544
74,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2160.885117,2045.019684,1364.978470,1282.243973,358.346085,231.116562,52.657562
75,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1913.843185,1689.939606,1265.818359,1054.785889,283.478226,237.899292,42.978569
76,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1515.109833,1757.307648,842.752274,1097.962524,290.009018,245.666946,44.697346
77,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1562.410141,1956.954605,795.607574,1213.101212,326.784256,243.861389,50.965908
78,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,1921.011887,1749.675888,1214.481552,1057.945374,298.317719,245.539764,47.064861
79,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1581.849243,1742.193665,904.809631,1083.543259,300.946106,233.044662,44.817062
80,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1598.050690,1981.233215,814.812698,1222.775223,336.056030,234.624527,52.097233
81,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1656.146774,2018.097717,858.400589,1244.453171,337.481186,239.954590,53.175739
82,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1546.294312,1759.573486,868.659653,1097.272644,297.055466,237.378906,45.005295
83,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1948.652771,1719.213242,1298.503021,1084.551239,292.409912,233.397873,43.034107
84,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,1918.879349,1835.211685,1189.266754,1121.171188,305.603256,244.984879,48.653118
85,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1636.612640,1954.641479,847.338104,1188.715576,332.872604,241.854523,52.569157
86,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2012.932388,1920.220200,1257.104462,1184.750565,320.633606,242.364914,50.330662
87,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1502.798203,1730.038300,849.896805,1091.447662,287.795425,234.441422,43.267529
88,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1572.330566,1798.236008,880.142136,1124.037964,303.842056,234.215454,45.919075
89,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1996.623962,1792.046143,1334.217911,1151.596420,309.372971,224.674408,43.635258
90,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1574.363876,1947.068588,809.327591,1199.957825,317.946121,253.998001,51.031593
91,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1536.848969,1770.669220,850.722916,1101.350739,300.716888,237.132965,45.523861
92,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1565.197144,1840.917313,808.406342,1099.169037,310.992844,247.805054,50.648811
93,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2012.765533,1903.306580,1255.240250,1166.329941,322.420120,240.582581,50.471046
94,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1873.664612,1684.298386,1246.008621,1070.559830,281.819931,233.767700,41.501205
95,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1861.301117,1654.524658,1240.958862,1047.835831,280.173340,233.861740,40.981808
96,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,1957.135925,1864.675415,1215.961670,1142.976685,313.917999,240.571198,49.288395
97,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2095.150787,2094.354156,1300.488358,1333.877945,361.777084,223.225647,52.478035
98,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1641.929855,2020.727005,836.286163,1242.783096,347.009186,243.563782,53.528225
99,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2001.607697,1884.478531,1249.501877,1150.994675,316.305206,246.037842,50.130859
100,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1911.281982,1725.800735,1252.995010,1082.133484,288.736496,236.304016,43.639454
101,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2014.302383,1957.841904,1248.059174,1214.439316,327.738724,243.102753,50.934059
102,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1609.096588,1865.380905,899.675858,1166.708069,291.650833,255.449387,47.397133
103,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2044.229416,1988.905563,1271.077881,1239.316116,333.267838,239.582932,51.401596
104,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1911.258957,1705.829468,1260.316879,1072.235046,297.666092,227.515427,43.023899
105,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1938.807449,1696.874222,1293.523590,1066.903839,289.492538,234.682953,42.658699
106,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1569.252243,1876.847076,829.307129,1151.991852,306.845627,249.454315,49.399010
107,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1589.371078,1927.820740,822.091309,1180.558899,321.849625,244.386719,51.130119
108,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1517.774399,1718.585083,850.860672,1064.949448,287.724197,240.891235,44.311157
109,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1958.353806,1729.142960,1292.934738,1081.181595,299.558685,229.603180,44.053612
110,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1835.452011,1675.642090,1220.304428,1073.859818,278.083923,230.850464,40.616447
111,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2091.634171,1967.959793,1316.346863,1222.029373,343.239288,228.743362,51.333111
112,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1592.471100,1941.538910,824.885178,1194.203430,320.238831,244.973785,51.137856
113,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1562.401047,1817.470657,862.882507,1137.437088,307.982178,235.841278,46.382317
114,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1576.062332,1953.297256,798.907104,1197.654968,327.863220,246.934143,51.831783
115,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1605.708603,1930.609726,821.861008,1164.560043,321.924713,252.189743,52.476639
116,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2180.214554,2027.517181,1378.898041,1258.135452,354.597794,226.878387,53.128651
117,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1545.914566,1755.102539,884.781189,1106.829697,282.214310,245.740952,43.900928
118,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,2108.131821,2006.793167,1318.602203,1247.917175,347.207458,231.812973,52.302090
119,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,1993.589935,1903.303406,1247.859756,1177.102417,310.449768,247.584351,49.641098
120,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1606.205399,1840.636154,903.240631,1158.123123,308.846573,236.922195,46.567955
121,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1889.830872,1709.093216,1256.416229,1091.674164,289.319046,229.622955,41.835716
122,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1518.686646,1720.683914,848.601257,1063.035477,287.099518,242.707443,44.566662
123,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1644.173630,1967.887527,852.254379,1200.464508,335.453827,244.102844,52.710068
124,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1517.789078,1743.284286,857.936798,1095.282700,285.745148,243.913132,43.858559
125,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1896.932770,1682.616653,1252.313110,1049.970535,281.651276,240.200027,42.787365
126,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1973.421951,1732.182663,1317.011505,1092.193985,292.095322,233.076401,43.434227
127,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1660.287872,2007.612442,871.737457,1247.131302,343.602570,236.952896,52.305122
128,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1534.204071,1717.518829,879.863297,1077.853256,288.558456,238.742538,43.352341
129,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1680.155624,2059.607010,868.086456,1278.310532,356.613708,234.557739,53.908485
130,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2132.997452,2024.118530,1333.871979,1255.682556,354.102905,231.092148,53.011116
131,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2057.889526,1944.945923,1285.517334,1199.143082,336.237625,237.081299,51.229561
132,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,1993.286911,1828.913208,1252.858597,1108.029785,311.389557,243.476151,49.260170
133,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1847.089584,1675.839523,1229.043152,1068.433670,270.455978,240.048660,40.931931
134,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1572.872604,1906.081085,815.842163,1166.286835,314.196121,249.457108,50.529224
135,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,1939.665710,1852.219040,1200.143875,1128.244705,306.525650,249.281052,49.353016
136,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1726.899094,2031.852325,939.041809,1261.856613,322.597458,261.027756,52.658085
137,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2091.749786,2084.771378,1289.688004,1315.029312,360.693344,228.558685,53.119152
138,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1598.028427,1828.306503,839.057953,1086.867859,313.149734,249.771439,50.652748
139,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1862.808838,1662.260086,1238.324905,1051.285110,283.382767,234.752808,41.294693
140,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,1886.050430,1790.085587,1181.011734,1098.669815,296.611893,248.709091,46.983135
141,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1638.184341,1913.535873,846.507355,1147.221237,336.189270,243.180756,52.652931
142,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1602.033249,1982.732361,813.542633,1217.820175,335.018127,242.976196,52.553894
143,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1561.414062,1774.711044,877.013077,1108.167175,303.879364,234.139954,45.419243
144,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1554.289658,1740.212097,884.091492,1083.023560,289.931351,240.658752,44.570221
145,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1974.411148,1779.474152,1300.897110,1125.409225,304.615112,229.770248,44.532581
146,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1622.084412,1945.492538,853.886826,1200.988205,330.192612,244.013382,51.045589
147,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1540.020630,1740.921005,879.954590,1097.398911,296.973999,235.786041,43.679710
148,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1854.799927,1630.171997,1239.482376,1026.018906,275.601440,234.957138,40.736561
149,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1543.415375,1762.771805,872.299164,1108.467361,299.440887,233.846237,44.458122
150,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1585.998398,1997.515335,815.206802,1248.291824,328.646088,243.849457,51.324425
151,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2040.923386,1867.003937,1287.309769,1133.518661,319.868088,241.290375,50.211452
152,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1588.493744,1818.835281,892.575256,1141.455994,304.870514,237.683777,46.126217
153,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1883.873703,1722.025528,1237.047623,1088.312592,284.136673,240.771942,42.868690
154,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1482.315613,1707.330841,836.573074,1072.620514,280.981400,240.730484,42.901180
155,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1941.186295,1767.188919,1274.023529,1118.923035,300.105652,229.785263,44.113083
156,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1928.859024,1684.523590,1276.463791,1044.918915,282.533966,239.156708,43.306442
157,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1558.100983,1907.891220,790.773361,1158.539871,314.689178,250.913986,51.211910
158,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,2022.705978,1733.808670,1348.278168,1077.983032,300.375992,231.002609,44.658691
159,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,1985.693069,1863.482162,1247.872040,1144.324066,309.776520,244.553818,49.091747
160,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1529.483353,1724.053909,850.527222,1059.770905,296.178009,240.563004,45.109760
161,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,2033.249252,1890.315521,1282.256088,1164.424789,328.657654,233.608887,49.779495
162,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1850.912720,1664.052612,1235.867432,1061.863953,274.788055,233.556564,40.623997
163,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,2018.176239,1811.970474,1337.939590,1154.744675,306.288528,226.423203,44.835323
164,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,1950.299652,1871.704041,1207.976105,1145.886108,304.710327,249.028961,49.499981
165,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1649.503738,1989.672394,870.265564,1233.001221,326.013535,246.157593,51.877510
166,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2073.146606,1896.770035,1299.395172,1146.720520,327.851120,237.447510,51.458458
167,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1653.465256,2045.916519,864.578232,1284.518967,341.377869,241.475525,52.343319
168,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1943.075439,1720.988541,1295.190247,1087.200256,286.359665,237.181152,42.907608
169,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2087.766281,2003.609390,1306.615005,1252.302704,344.123291,230.400421,51.715183
170,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2349.637939,2160.766373,1494.866089,1338.360840,361.950165,244.892441,56.776733
171,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1525.510605,1742.784805,879.333603,1110.660965,288.573105,235.226471,42.796379
172,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1922.955948,1751.375595,1267.253647,1113.285339,297.259171,228.240265,43.332207
173,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1941.803818,1767.665558,1282.788956,1126.405075,295.230331,231.957382,43.545891
174,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1534.703766,1756.182068,847.423721,1084.390457,298.363403,238.858627,45.662510
175,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1743.057648,2230.687241,897.872849,1426.201706,385.926865,226.953613,55.794197
176,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1567.819382,1771.068787,887.123047,1106.214783,297.012436,238.592651,45.176178
177,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1571.022507,1822.267609,885.267212,1154.822861,305.311340,234.331650,45.446144
178,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1590.025055,1883.692398,825.780151,1137.282654,316.726089,247.153519,51.054543
179,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1505.584671,1707.564484,867.275955,1081.037079,282.085678,237.445923,42.359718
180,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1928.250519,1758.741333,1264.863663,1113.496872,301.023285,228.905502,43.868771
181,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1516.342331,1719.010437,853.078934,1068.259140,285.515930,243.404602,44.067268
182,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1626.758362,1935.193115,845.117188,1174.347885,323.588058,247.588837,52.121239
183,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1611.753830,1992.872559,822.099014,1227.217255,336.781174,241.346802,52.604057
184,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1590.019531,1815.352478,883.930359,1129.395950,314.980621,228.791733,46.859684
185,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1979.776901,1736.181427,1318.455627,1091.164352,292.874786,233.816788,43.798504
186,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2088.967346,1972.656784,1313.580612,1226.085999,342.333038,229.345688,51.354630
